%q Iq Pq Sq Zq Bq Bq2
1.476533500e-02 8.781778550e+00 1.903528083e-12 1.087702800e-01 2.961204854e-02 9.999999823e-01 1.000000000e+00
1.481813900e-02 8.824472885e+00 1.902269155e-12 1.094433415e-01 3.022800791e-02 9.999999822e-01 1.000000000e+00
1.487094300e-02 8.869073475e+00 1.901006456e-12 1.101410290e-01 3.086874496e-02 9.999999821e-01 1.000000000e+00
1.492374700e-02 8.915677570e+00 1.899739992e-12 1.108646642e-01 3.153565979e-02 9.999999820e-01 1.000000000e+00
1.497655000e-02 8.964389891e+00 1.898469797e-12 1.116156656e-01 3.223025750e-02 9.999999818e-01 1.000000000e+00
1.502935400e-02 9.015327144e+00 1.897195828e-12 1.123956168e-01 3.295421239e-02 9.999999817e-01 1.000000000e+00
1.508215800e-02 9.068613363e+00 1.895918118e-12 1.132061924e-01 3.370930162e-02 9.999999816e-01 1.000000000e+00
1.513496200e-02 9.124384564e+00 1.894636674e-12 1.140492283e-01 3.449747154e-02 9.999999814e-01 1.000000000e+00
1.518776500e-02 9.182787855e+00 1.893351527e-12 1.149267057e-01 3.532082508e-02 9.999999813e-01 1.000000000e+00
1.524056900e-02 9.243987200e+00 1.892062637e-12 1.158408357e-01 3.618170318e-02 9.999999812e-01 1.000000000e+00
1.529337300e-02 9.308158270e+00 1.890770035e-12 1.167939792e-01 3.708261229e-02 9.999999811e-01 1.000000000e+00
1.534617700e-02 9.375494494e+00 1.889473729e-12 1.177887353e-01 3.802630989e-02 9.999999809e-01 1.000000000e+00
1.539898000e-02 9.446206532e+00 1.888173752e-12 1.188279306e-01 3.901579737e-02 9.999999808e-01 1.000000000e+00
1.545178400e-02 9.520529896e+00 1.886870060e-12 1.199147281e-01 4.005442702e-02 9.999999807e-01 1.000000000e+00
1.550458800e-02 9.598719445e+00 1.885562687e-12 1.210525426e-01 4.114582559e-02 9.999999805e-01 1.000000000e+00
1.555739200e-02 9.681057583e+00 1.884251640e-12 1.222451579e-01 4.229400944e-02 9.999999804e-01 1.000000000e+00
1.561019500e-02 9.767854615e+00 1.882936952e-12 1.234967274e-01 4.350339034e-02 9.999999803e-01 1.000000000e+00
1.566299900e-02 9.859459282e+00 1.881618580e-12 1.248119222e-01 4.477892321e-02 9.999999801e-01 1.000000000e+00
1.571580300e-02 9.956253414e+00 1.880296558e-12 1.261958489e-01 4.612603265e-02 9.999999800e-01 1.000000000e+00
